user,waktu,barang,review,rating
K***a,02/04/2024,Roma Wafello Renceng isi 10 sct,barang sesuai pesanan.. kemasan aman.. makasi seller,5
K***a,02/04/2024,Slai Olai Biskuit 240gr,barang dtg sesuai pesanan.. kondisi baik...kemasan juga baik..makasi seller,5
Ririn,02/04/2024,indofood kecap manis botol 135ml,mantapp dpt hrga diskon jd murah bgt.. packing okee,5
Ririn,02/04/2024,Indofood Kecap Manis Botol 275ml,mantapp dpt hrga diskon jd murah bgt.. packing okee,5
F***y,28/03/2024,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"pesan korean camelia, tapi yang dikirim violet blosom",4
Agus,27/03/2024,abc kopi susu renceng,kopi sudah sampai dengan selamat dan aman,5
Lisa,27/03/2024,Nabati siip box 20s,"beli 3 mlempem semua,exp puendekk bangett jadi yasudah di buang aja.",1
Apri,27/03/2024,Nissin Biskuit Kering 300gr,"Terima kasih pesanan sesuai, pengiriman cepat dan kwalitas barang OK ...
Pertahankan kwalitas n pelayanan Boss quhh...semoga toko nambah laris manis",5
wahyuningsih,27/03/2024,Nabati siip box 20s,sipp nya 1 dus   mlempem😭😭😭,3
Muhammad,27/03/2024,gery chocolatos isi 24,mantap joss...,5
Muhammad,27/03/2024,Nabati Wafer Box isi 20 pcs,mantap josss,5
F***a,27/03/2024,Gudang Garam Signature isi 12 batang,Paket diterima dalam keadaan baik aman dan lancar. Terima kasih.,5
Azriel,27/03/2024,Oreo Roll,expired bulan 4 2024 sedangkan ini sudah bulan ke 3 . sudah agak melempem oreonya. mohon sebelum dikirim di cek dulu expired nya kak,2
Azriel,27/03/2024,Garuda Rosta Kacang Panggang 100gr,minta garuda Rosta rasa wagyu 1 yg rasa bawang 1. malah yg dikirim rasa bawang semua..,3
S***o,20/03/2024,lays rumput laut 168 gr,makasih kak,5
Nungky,20/03/2024,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),seller gercep dalam hal pick up cuma lama pengiriman,5
Agus,20/03/2024,abc kopi susu renceng,kopi sudah sampai di rumah dengan selamat dan aman,5
Wirabawa,20/03/2024,Stella Matic Reffil,wanginya enak,5
Tulus,20/03/2024,Nabati siip box 20s,"D kasih bonus, makasih kak ☺️☺️",5
ifp,20/03/2024,kalpa wafer kelapa box,,5
g***o,20/03/2024,Rinso Anti Noda Bubuk 10.000,"baru pertama belanja disini,eh pas dateng di kasih bonus stik.. makasih bonus nya",5
g***o,20/03/2024,Downy 1000 Renceng isi 6 sct,"baru pertama belanja disini, eh pas dateng di kasih bonus stik.. makasih bonus nya",5
g***o,20/03/2024,tissue tessa 250 sheet,"baru pertama belanja disini, eh  pas dateng di ksh bonus stik .. lumayan buat cemilan.. makasih bonus nya",5
H***y,06/03/2024,kecap lele 340ml,cepat nyampe dan sesuai diskripsi,5
H***y,06/03/2024,Kapal Api Special 165 gr,respon cepat pengiriman cepat sesuai diskripsi,5
H***y,06/03/2024,indomie goreng special,respon cepat barang sesuai diskripsi,5
FREDDY,04/03/2024,Strepsils Box isi 24 butir,Packing rapi dan aman. Pengiriman cepat. Expired date masih lama.,5
Baskara,04/03/2024,Mama Lemon Stain Remover Pouch 500gr,"Barang diterima dgn baik, packing rapi. Pengiriman jg cepat!",5
abcdefg,04/03/2024,Nabati Roll's Box isi 20 pcs,jajan grtis nabati roll 1 bungkus sama time break,5
Virdy,04/03/2024,Serena Troy Biskuit,"belum dicoba, terimakasih ya",5
B***s,04/03/2024,Zinc Shampoo Renceng isi 12 sct,tipe rambutku lurus tipe rambutku keriting tipe rambutku bergelombang,5
Alim,04/03/2024,Strepsils Box isi 24 butir,mantab,5
k***a,04/03/2024,momogi box 20 pcs,"barang lengkap, penjual fast respon",5
Alfan,04/03/2024,Nuvo hand sanitizer 50ml gel,Barang diterima dalam kondisi utuh.,5
Abdul,04/03/2024,Kopi Seruput Botol 200ml,terimakasih,5
Abdul,04/03/2024,Deka Wafer Roll Jumbo Box isi 20 pcs,mantab.. terimakasih,5
A***b,04/03/2024,laurier super maxi 30,Packingnya pake kardus 👍👍👍,5
Hartini,04/03/2024,Teh Botol Sosro Kotak 250ml Dus isi 24 pcs,barang sudah sampai super cepat..makasih seller. sukses ya..,5
A***s,04/03/2024,Gery Saluut Malkist Renceng isi 10,"seperti biasa pengiriman cepat, lengkap semua. puas belanja disini. thank seller",5
